subID,group,A,B,X
81,Control,0.0027425882595128086,0.00038076856300839725,-0.000488727118199645
82,Control,-0.004379762996804501,-0.010601958050138098,0.004087177668596886
83,Control,0.00029637159799142995,0.0038832434839807827,0.002605429823957055
84,Stress,0.003669888139039295,0.0025070573364255207,0.004640560991411476
85,Stress,-0.0005612070729087443,0.0025005314685705815,0.0006759935518372073
86,Control,-0.0012021068563830527,0.00125882747825773,0.0012706867824107029
87,Control,0.00019802591440013845,0.0009891808149866935,-0.0003194495851931124
88,Stress,0.0013202545522227698,-0.002495078499202733,-0.002248439611405711
89,Control,0.003458346185172615,-0.0032191308763543855,-0.006301609584848406
90,Stress,0.003487661115781784,-0.0025533789939302535,0.002484721099834507
91,Control,0.0005612418183871177,0.0021689776198809273,-0.0022212027172517365
92,Stress,0.0035946015853520813,-0.001638002033067348,0.001971977523667115
93,Control,0.0012648474635210713,-6.585310238867825e-05,-0.0007077900366603071
94,Control,-0.0007588034611984768,-0.00393014570934431,0.0005105789955548177
95,Control,0.0036106893625075776,0.0029274314137926615,0.0024280567125453717
96,Stress,0.0009658742643330882,0.003825602461586014,0.001790266318038128
98,Stress,-0.0016165332965061086,0.004117379825760317,0.00016834624583938058
100,Control,-0.004287592947625365,-0.001338196301068822,-0.0009774749437450438
101,Stress,0.00047505747429092617,0.0019672435844203693,-0.001775312782202919
103,Stress,-0.0023393702821941933,0.0015895980700631365,-9.15428409699199e-05
104,Stress,0.004802175416485957,-0.00421943672755011,0.002667114509996284
105,Stress,0.005893171109099803,-0.0026330601171218257,0.0009338004579770785
106,Control,0.00020519922111717005,0.000574865115609657,0.001982023495946833
