subID,Aprime_A,Aprime_B,Aprime_X,HR_A,HR_B,HR_X,FA_A,FA_B,FA_X
39,0.7312252964426877,0.7291666666666666,0.7316470788622041,0.36507936507936506,0.3333333333333333,0.4523809523809524,0.12698412698412698,0.1111111111111111,0.18253968253968253
40,0.5581719972254081,0.635363089932326,0.7085561497326203,0.3442622950819672,0.39344262295081966,0.5483870967741935,0.2903225806451613,0.25396825396825395,0.2903225806451613
41,0.6487573099415205,0.5470085470085471,0.563631898214507,0.6031746031746031,0.6190476190476191,0.552,0.42857142857142855,0.5714285714285714,0.48412698412698413
42,0.6541666666666667,0.6721698113207547,0.6626559714795008,0.47619047619047616,0.31746031746031744,0.3492063492063492,0.30158730158730157,0.15873015873015872,0.19047619047619047
43,0.7090807042419945,0.6030277544154752,0.6905953188602442,0.6451612903225806,0.6507936507936508,0.6984126984126984,0.38095238095238093,0.5396825396825397,0.46825396825396826
44,0.5959601019208312,0.6721698113207547,0.5889945652173914,0.3492063492063492,0.31746031746031744,0.12698412698412698,0.25806451612903225,0.15873015873015872,0.0873015873015873
45,0.6353679450240228,0.754080846293961,0.5830577601410936,0.6825396825396826,0.8524590163934426,0.6428571428571429,0.532258064516129,0.5555555555555556,0.5555555555555556
46,0.6910803891449053,0.6979166666666666,0.7008719416970328,0.3968253968253968,0.38095238095238093,0.2698412698412698,0.1935483870967742,0.1746031746031746,0.10317460317460317
47,0.6626559714795008,0.6265625,0.6613465160075329,0.3492063492063492,0.5079365079365079,0.46825396825396826,0.19047619047619047,0.36507936507936506,0.2857142857142857
48,0.5194444444444445,0.6591800180296284,0.5078570696721311,0.2903225806451613,0.3387096774193548,0.23770491803278687,0.27419354838709675,0.1864406779661017,0.232
49,0.6382575757575758,0.5157635467980296,0.6263747054202671,0.5238095238095238,0.4603174603174603,0.608,0.36507936507936506,0.4444444444444444,0.464
50,0.45240384615384616,0.6452079660096738,0.6003276003276004,0.36507936507936506,0.6290322580645161,0.5238095238095238,0.4126984126984127,0.4603174603174603,0.4126984126984127
51,0.5307765151515151,0.7324617346938775,0.6563983205549471,0.5079365079365079,0.7777777777777778,0.6587301587301587,0.47619047619047616,0.49206349206349204,0.47619047619047616
52,0.6020833333333333,0.703125,0.6244203778805938,0.6349206349206349,0.7619047619047619,0.6507936507936508,0.5238095238095238,0.5238095238095238,0.512
53,0.5,0.5274442538593482,0.5927656628591208,0.20634920634920634,0.1746031746031746,0.21428571428571427,0.20634920634920634,0.15873015873015872,0.15079365079365079
54,0.5181818181818182,0.4281567489114659,0.6237978416465472,0.31746031746031744,0.15873015873015872,0.288,0.30158730158730157,0.20634920634920634,0.18253968253968253
55,0.6469404186795491,0.42403628117913833,0.5767841011743451,0.42857142857142855,0.2222222222222222,0.42857142857142855,0.2698412698412698,0.2857142857142857,0.3492063492063492
56,0.7097701149425287,0.6917016806722689,0.7288327991452992,0.23809523809523808,0.2698412698412698,0.25396825396825395,0.07936507936507936,0.1111111111111111,0.07142857142857142
57,0.6021634615384616,0.6257493309760505,0.6041666666666667,0.25396825396825395,0.25806451612903225,0.21428571428571427,0.1746031746031746,0.15873015873015872,0.14285714285714285
58,0.7529761904761905,0.6355661881977671,0.6097756410256411,0.38095238095238093,0.1746031746031746,0.2619047619047619,0.1111111111111111,0.09523809523809523,0.1746031746031746
59,0.6673175433299467,0.7317073170731707,0.696209961428811,0.6507936507936508,0.6507936507936508,0.7063492063492064,0.45161290322580644,0.3492063492063492,0.46825396825396826
60,0.5788235294117647,0.696969696969697,0.6234782608695653,0.2698412698412698,0.5238095238095238,0.3968253968253968,0.20634920634920634,0.2857142857142857,0.2698412698412698
