subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
39	0	2	6	90	lighthouses51.jpg	lighthouses	A	22	33.008199	1	0.534423589706421	6	1	4
39	0	2	7	91	canyons16.jpg	canyons	B	26	39.008121	1	0.767504453659058	366	0	4
39	0	2	8	92	lakes21.jpg	lakes	X	28	42.008099	1	1.13155555725098	406	1	4
39	0	2	9	93	fields37.jpg	fields	X	30	45.02481	1	0.810933828353882	481	0	4
39	0	2	10	94	parks50.jpg	parks	X	34	51.008192	1	0.604655027389526	27	1	4
39	0	2	11	95	forests2.jpg	forests	X	38	57.007897	1	0.59480881690979	86	1	4
39	0	2	12	96	mountains38.jpg	mountains	X	40	60.007948	1	0.710828542709351	100	0	1
39	0	2	13	97	forests52.jpg	forests	X	43	64.507918	1	0.613925218582153	20	1	4
39	0	2	14	98	waterfalls15.jpg	waterfalls	A	47	70.507714	1	0.582018852233887	445	0	4
39	0	2	15	99	bridges49.jpg	bridges	B	49	73.50767	1	0.69806170463562	60	1	4
39	0	2	16	100	fields30.jpg	fields	X	51	76.507673	1	0.588100433349609	432	0	3
39	0	2	17	101	lakes22.jpg	lakes	X	54	81.00758	1	0.626182556152344	221	1	4
39	0	2	18	102	parks33.jpg	parks	X	58	87.007497	1	0.782294750213623	18	1	4
39	0	2	19	103	marshes54.jpg	marshes	A	62	93.007429	1	0.612399578094482	11	0	2
39	0	2	20	104	deserts44.jpg	deserts	B	66	99.007353	1	0.744504451751709	229	0	4
39	0	2	21	105	lighthouses37.jpg	lighthouses	A	70	105.007269	1	0.551610946655273	9	1	3
39	0	2	22	106	canyons42.jpg	canyons	B	72	108.007242	1	0.615654468536377	424	0	4
39	0	2	23	107	marshes26.jpg	marshes	A	75	112.50718	1	0.758751630783081	207	1	4
39	0	2	24	108	deserts20.jpg	deserts	B	77	115.507124	1	0.669778823852539	165	0	3
39	0	2	25	109	waterfalls48.jpg	waterfalls	A	79	118.507122	1	0.805847644805908	208	0	2
39	0	2	26	110	bridges29.jpg	bridges	B	82	123.007142	1	0.841889619827271	378	0	4
39	0	2	27	111	lighthouses38.jpg	lighthouses	A	85	127.507055	1	0.559946537017822	88	1	4
39	0	2	28	112	canyons27.jpg	canyons	B	89	133.506955	1	0.649088621139526	160	0	2
39	0	2	29	113	mountains56.jpg	mountains	X	92	138.007051	1	0.693117141723633	502	0	1
39	0	2	30	114	lakes24.jpg	lakes	X	95	142.506885	1	0.699165821075439	437	0	4
39	0	2	31	115	parks45.jpg	parks	X	99	148.506797	1	0.684383630752563	70	1	4
39	0	2	32	116	mountains15.jpg	mountains	X	102	153.006735	1	0.662379741668701	8	1	1
39	0	2	33	117	marshes14.jpg	marshes	A	104	156.006684	1	0.607491970062256	352	1	4
