subid	trial	img	categ	cond	rep	answer	trialdur	acc	rt	resp	group	block	ITI
100	50	lighthouses54.jpg	lighthouses	X	26	yes	0.999904	1	0.713281869888306	k	0	4	3.5
100	51	marshes48.jpg	marshes	X	24	no	0.999955	1	0.716344118118286	j	0	4	5
100	52	beaches28.jpg	beaches	X	26	yes	0.99988	1	0.616429805755615	k	0	4	2
100	53	forests5.jpg	forests	A	26	no	0.99988	1	0.814579725265503	j	0	4	2
100	54	canyons18.jpg	canyons	B	26	no	0.99991	1	0.751492977142334	j	0	4	2
100	55	lakes17.jpg	lakes	X	26	yes	0.999951	1	0.760538339614868	k	0	4	5
100	56	deserts33.jpg	deserts	X	24	no	0.999894	1	0.73164701461792	j	0	4	3.5
100	57	forests17.jpg	forests	A	27	no	0.999884	1	0.864719867706299	j	0	4	3.5
100	58	canyons10.jpg	canyons	B	27	no	0.999878	1	0.75278902053833	j	0	4	5
100	59	parks28.jpg	parks	A	25	yes	0.999896	1	0.850914716720581	k	0	4	2
100	60	bridges53.jpg	bridges	B	25	yes	0.999911	1	0.763005018234253	k	0	4	2
100	61	fields21.jpg	fields	A	24	yes	0.999907	1	0.620999813079834	k	0	4	2
100	62	mountains56.jpg	mountains	B	24	no	0.999875	1	0.846093654632568	j	0	4	3.5
100	63	waterfalls13.jpg	waterfalls	X	26	no	0.99993	1	0.827109575271606	j	0	4	2
100	64	parks1.jpg	parks	A	26	yes	0.999998	1	0.733196496963501	k	0	4	2
100	65	bridges42.jpg	bridges	B	26	yes	1.000002	1	0.639245271682739	k	0	4	3.5
100	66	fields16.jpg	fields	A	25	yes	0.999938	1	0.695324897766113	k	0	4	5
100	67	mountains8.jpg	mountains	B	25	no	0.999909	1	0.770442962646484	j	0	4	3.5
100	68	lakes30.jpg	lakes	X	27	yes	0.999956	1	0.748470783233643	k	0	4	3.5
100	69	fields10.jpg	fields	A	26	yes	0.999861	1	0.721704483032227	k	0	4	5
100	70	mountains46.jpg	mountains	B	26	no	1.000027	1	0.986622095108032	j	0	4	2
100	71	parks55.jpg	parks	A	27	yes	0.999848	1	0.671677589416504	k	0	4	5
100	72	bridges44.jpg	bridges	B	27	yes	0.999887	1	0.712769746780396	k	0	4	2
100	73	deserts9.jpg	deserts	X	25	no	0.999957	1	0.803823947906494	j	0	4	2
100	74	marshes42.jpg	marshes	X	25	no	0.999943	1	0.699838876724243	j	0	4	5
100	75	fields33.jpg	fields	A	27	yes	0.999866	1	0.641945838928223	k	0	4	2
100	76	mountains54.jpg	mountains	B	27	no	0.999892	1	0.663014888763428	j	0	4	3.5
100	77	beaches15.jpg	beaches	X	27	yes	0.999896	1	0.650198936462402	k	0	4	3.5
100	78	waterfalls34.jpg	waterfalls	X	27	no	0.999911	1	0.620190858840942	j	0	4	5
100	79	deserts1.jpg	deserts	X	26	no	0.999891	1	0.666285753250122	j	0	4	2
100	80	marshes24.jpg	marshes	X	26	no	0.999934	1	0.653288125991821	j	0	4	2
100	81	lighthouses25.jpg	lighthouses	X	27	yes	0.999857	1	0.855335474014282	k	0	4	3.5
100	82	deserts53.jpg	deserts	X	27	no	0.999963	1	0.690393924713135	j	0	4	3.5
100	83	marshes17.jpg	marshes	X	27	no	1.000476	1	1.56013965606689	j	0	4	5
100	0	fields50.jpg	fields	A	28	yes	0.999917	1	0.65869140625	k	0	5	2
100	1	lighthouses17.jpg	lighthouses	X	28	yes	0.999979	1	0.652680158615112	k	0	5	3.5
100	2	beaches9.jpg	beaches	X	28	yes	1.000019	1	0.735761880874634	k	0	5	3.5
100	3	lighthouses51.jpg	lighthouses	X	29	yes	1.000005	1	0.526817798614502	k	0	5	3.5
100	4	fields49.jpg	fields	A	29	yes	0.999983	1	0.758893728256226	k	0	5	3.5
100	5	waterfalls17.jpg	waterfalls	X	28	no	0.999991	1	0.868997573852539	j	0	5	3.5
100	6	marshes23.jpg	marshes	X	28	no	0.999979	1	0.6970374584198	j	0	5	2
100	7	lighthouses30.jpg	lighthouses	X	30	yes	0.999995	1	0.571123838424683	k	0	5	2
100	8	marshes51.jpg	marshes	X	29	no	0.999982	1	0.722143650054932	j	0	5	5
100	9	parks40.jpg	parks	A	28	yes	0.999937	1	0.783246040344238	k	0	5	2
100	10	beaches4.jpg	beaches	X	29	yes	0.999941	1	0.632328748703003	k	0	5	2
