subID	trial	probed	truepair	foilpair	sideorder	cond	rt	resp	acc	left	right	group
36	5	fields	canyons	waterfalls	1	A	0.941464900970459	j	1	waterfalls	canyons	0
36	6	canyons	fields	lighthouses	0	B	1.20737195014954	j	0	fields	lighthouses	0
36	7	waterfalls	forests	fields	0	B	0.956017971038818	f	1	forests	fields	0
36	8	fields	canyons	waterfalls	1	A	0.964367866516113	f	0	waterfalls	canyons	0
36	9	mountains	lighthouses	forests	0	B	1.13315296173096	f	1	lighthouses	forests	0
36	10	lighthouses	mountains	canyons	0	A	1.83735680580139	f	1	mountains	canyons	0
36	11	forests	waterfalls	mountains	1	A	1.48198986053467	f	0	mountains	waterfalls	0
37	0	bridges	waterfalls	deserts	1	B	1.78298711776733	j	1	deserts	waterfalls	1
37	1	waterfalls	bridges	parks	0	A	3.00170612335205	f	1	bridges	parks	1
37	2	canyons	deserts	marshes	0	B	1.62353897094727	f	1	deserts	marshes	1
37	3	parks	marshes	waterfalls	1	B	2.13911080360413	j	1	waterfalls	marshes	1
37	4	deserts	canyons	bridges	1	A	2.96232175827026	j	1	bridges	canyons	1
37	5	marshes	parks	canyons	0	A	1.74936890602112	f	1	parks	canyons	1
37	6	parks	marshes	waterfalls	1	B	2.67075681686401	j	1	waterfalls	marshes	1
37	7	marshes	parks	canyons	0	A	1.84447693824768	f	1	parks	canyons	1
37	8	bridges	waterfalls	deserts	1	B	2.365394115448	j	1	deserts	waterfalls	1
37	9	canyons	deserts	marshes	1	B	1.95268821716309	j	1	marshes	deserts	1
37	10	deserts	canyons	bridges	0	A	1.06736898422241	f	1	canyons	bridges	1
37	11	waterfalls	bridges	parks	0	A	2.84377503395081	f	1	bridges	parks	1
38	0	lakes	lighthouses	bridges	1	B	2.47803807258606	f	0	bridges	lighthouses	1
38	1	beaches	marshes	lighthouses	1	B	2.28054594993591	f	0	lighthouses	marshes	1
38	2	bridges	mountains	lakes	1	A	1.65716576576233	f	0	lakes	mountains	1
38	3	mountains	bridges	marshes	0	B	2.72136783599854	j	0	bridges	marshes	1
38	4	lighthouses	lakes	beaches	1	A	3.72512888908386	f	0	beaches	lakes	1
38	5	marshes	beaches	mountains	0	A	1.85334300994873	j	0	beaches	mountains	1
38	6	lighthouses	lakes	beaches	1	A	1.51372480392456	f	0	beaches	lakes	1
38	7	marshes	beaches	mountains	0	A	1.34771990776062	j	0	beaches	mountains	1
38	8	lakes	lighthouses	bridges	0	B	2.04590010643005	j	0	lighthouses	bridges	1
38	9	mountains	bridges	marshes	1	B	1.41888403892517	f	0	marshes	bridges	1
38	10	bridges	mountains	lakes	0	A	1.33002901077271	j	0	mountains	lakes	1
38	11	beaches	marshes	lighthouses	0	B	1.48689198493958	j	0	marshes	lighthouses	1
39	0	deserts	marshes	waterfalls	0	B	3.08834099769592	j	0	marshes	waterfalls	0
39	1	waterfalls	bridges	deserts	0	A	1.86676788330078	f	1	bridges	deserts	0
39	2	marshes	deserts	canyons	1	A	2.89456701278687	f	0	canyons	deserts	0
39	3	canyons	lighthouses	marshes	1	B	2.0582218170166	f	0	marshes	lighthouses	0
39	4	lighthouses	canyons	bridges	0	A	1.90508770942688	j	0	canyons	bridges	0
