subid	A	B
82	canyons	waterfalls
82	deserts	parks
83	mountains	marshes
83	bridges	canyons
83	waterfalls	beaches
84	forests	mountains
84	bridges	beaches
84	deserts	canyons
85	bridges	mountains
85	lighthouses	fields
85	parks	deserts
86	lakes	fields
86	waterfalls	beaches
86	mountains	deserts
87	mountains	deserts
87	marshes	forests
87	canyons	lakes
88	canyons	forests
88	fields	lighthouses
88	parks	lakes
89	bridges	waterfalls
89	deserts	forests
89	beaches	parks
90	mountains	marshes
90	beaches	parks
90	canyons	waterfalls
91	bridges	fields
91	lakes	mountains
91	marshes	beaches
92	fields	marshes
92	lakes	bridges
92	beaches	lighthouses
93	parks	bridges
93	lighthouses	mountains
93	waterfalls	canyons
94	fields	lighthouses
94	forests	lakes
94	marshes	parks
95	forests	marshes
95	waterfalls	canyons
95	deserts	beaches
96	deserts	waterfalls
96	forests	bridges
96	lighthouses	canyons
98	marshes	forests
98	lakes	mountains
98	canyons	deserts
100	forests	canyons
100	fields	mountains
100	parks	bridges
101	forests	mountains
101	beaches	deserts
101	parks	marshes
103	lakes	lighthouses
103	beaches	fields
103	deserts	waterfalls
104	beaches	parks
104	mountains	fields
104	waterfalls	bridges
105	waterfalls	lakes
105	deserts	marshes
105	mountains	parks
106	waterfalls	lakes
106	lighthouses	beaches
106	bridges	canyons
