subid	X
43	mountains
44	waterfalls
44	mountains
44	marshes
44	fields
44	deserts
44	lighthouses
45	bridges
45	canyons
45	lighthouses
45	marshes
45	mountains
45	forests
46	beaches
46	canyons
46	deserts
46	waterfalls
46	lakes
46	bridges
47	parks
47	deserts
47	beaches
47	canyons
47	lakes
47	bridges
48	deserts
48	beaches
48	waterfalls
48	parks
48	lakes
48	marshes
49	marshes
49	bridges
49	mountains
49	canyons
49	lighthouses
49	forests
50	beaches
50	marshes
50	fields
50	forests
50	lakes
50	mountains
51	mountains
51	beaches
51	lakes
51	forests
51	lighthouses
51	parks
52	bridges
52	beaches
52	canyons
52	marshes
52	waterfalls
52	forests
53	forests
53	canyons
53	deserts
53	beaches
53	mountains
53	marshes
54	beaches
54	forests
54	marshes
54	mountains
54	parks
54	waterfalls
55	fields
55	waterfalls
55	bridges
55	lighthouses
55	beaches
55	deserts
56	deserts
56	canyons
56	waterfalls
56	parks
56	lighthouses
56	lakes
57	lighthouses
57	lakes
57	deserts
57	bridges
57	fields
57	waterfalls
58	mountains
58	deserts
58	fields
58	parks
58	bridges
58	marshes
59	parks
59	fields
59	canyons
59	deserts
59	bridges
59	lakes
60	waterfalls
60	parks
60	canyons
60	fields
60	lakes
60	lighthouses
61	deserts
61	waterfalls
61	forests
61	marshes
61	bridges
61	fields
62	marshes
62	deserts
62	waterfalls
62	beaches
62	parks
62	bridges
63	waterfalls
63	beaches
63	mountains
63	lighthouses
63	fields
63	lakes
64	waterfalls
64	beaches
64	lighthouses
64	forests
64	bridges
64	lakes
65	lakes
65	waterfalls
65	mountains
65	fields
65	lighthouses
65	marshes
66	parks
66	canyons
66	deserts
66	fields
66	mountains
66	marshes
67	waterfalls
67	bridges
67	beaches
67	parks
67	forests
67	marshes
68	parks
68	canyons
68	beaches
68	deserts
68	mountains
68	forests
69	canyons
69	parks
69	marshes
69	deserts
69	lighthouses
69	beaches
71	bridges
71	lakes
71	canyons
71	mountains
71	forests
71	fields
72	lighthouses
72	lakes
72	fields
72	canyons
72	bridges
72	deserts
73	forests
73	fields
73	waterfalls
73	mountains
73	deserts
73	beaches
74	waterfalls
74	canyons
74	deserts
74	forests
74	beaches
74	marshes
75	lakes
75	parks
75	deserts
75	canyons
75	waterfalls
75	mountains
76	mountains
76	forests
76	fields
76	deserts
76	parks
76	waterfalls
77	bridges
77	beaches
77	fields
77	parks
77	waterfalls
77	canyons
78	beaches
78	forests
78	canyons
78	parks
78	bridges
78	marshes
79	beaches
79	lighthouses
79	bridges
79	mountains
79	canyons
79	lakes
80	lakes
80	deserts
80	mountains
80	bridges
80	marshes
80	lighthouses
81	canyons
81	marshes
81	lakes
81	bridges
81	beaches
81	lighthouses
82	fields
82	bridges
82	mountains
82	lighthouses
82	forests
82	marshes
83	lighthouses
83	forests
83	lakes
83	parks
83	deserts
83	fields
84	marshes
84	fields
84	lighthouses
84	lakes
84	waterfalls
84	parks
85	forests
85	beaches
