subid,pairnum,familacc,ets,group
29,3,0.3333333333333333,0.3033861433446235,Control
30,1,0.0,0.25522728009704965,Stress
30,2,0.5,0.22369878961343911,Stress
30,3,1.0,-0.1335177382115435,Stress
31,1,0.5,0.35295105503574753,Control
31,2,0.75,-0.22702768827325362,Control
31,3,1.0,0.591451651470823,Control
32,1,0.25,0.042696600622660875,Stress
32,2,0.25,0.1329572123619716,Stress
32,3,0.75,0.4089438675702793,Stress
33,1,1.0,-0.09441084777206903,Stress
33,2,0.0,0.08740594487655325,Stress
33,3,0.25,0.2084941478571912,Stress
34,1,0.75,0.1275660845792705,Control
34,2,0.75,0.8644546322152588,Control
34,3,0.25,0.6750152025485244,Control
36,1,0.75,0.1903700309572958,Control
36,2,0.5,0.7257522712161264,Control
36,3,0.25,0.5119110722430789,Control
37,1,1.0,-0.07775826114498371,Stress
37,2,1.0,0.2867025951694381,Stress
37,3,1.0,0.4456929760321724,Stress
38,1,0.0,-0.2710461092269717,Stress
38,2,0.0,-0.023221680219545498,Stress
38,3,0.0,0.267025614040865,Stress
39,1,0.0,0.3555903915075918,Control
39,2,1.0,0.03628215163174852,Control
39,3,0.25,0.4244644012181392,Control
40,1,0.5,0.0458000831230366,Stress
40,2,0.5,0.5330826584635231,Stress
40,3,0.25,0.16741163662236191,Stress
41,1,0.5,0.5449494826546752,Control
41,2,0.5,0.369647307062931,Control
41,3,0.25,0.2770964877398704,Control
42,1,0.5,0.508638911002169,Stress
42,2,0.25,0.37418996246207886,Stress
42,3,0.75,0.08820514841965131,Stress
43,1,0.0,0.3147770618138203,Stress
43,2,0.5,0.39829793158941956,Stress
43,3,0.5,0.19957480589130583,Stress
44,1,1.0,0.20337999816390567,Control
44,2,0.5,0.23670931428845277,Control
44,3,0.75,0.09762214400318811,Control
45,1,0.5,0.9469996488885777,Control
45,2,0.3333333333333333,0.5447311277264836,Control
45,3,0.0,0.9385401806519396,Control
46,1,1.0,0.6271411446450843,Stress
46,2,0.5,0.3573242858094225,Stress
46,3,1.0,0.551023530042234,Stress
47,1,0.75,0.0004927185057090888,Stress
47,2,1.0,0.29513162869534604,Stress
47,3,1.0,0.2520209556136766,Stress
48,1,0.0,0.23203869695602033,Control
48,2,0.5,0.249182258399132,Control
48,3,0.0,0.42413674163071036,Control
49,1,0.5,0.041994538514487284,Control
49,2,0.75,0.7034376169770349,Control
49,3,0.0,-0.012746438931351826,Control
50,1,1.0,0.19499126725306573,Stress
50,2,0.75,0.443122456811963,Stress
50,3,1.0,0.4679993559866067,Stress
52,1,0.3333333333333333,0.3706658774713281,Control
52,2,0.25,0.444315845542771,Control
52,3,1.0,0.40908909028026547,Control
53,1,0.25,0.27575800616246465,Control
53,2,1.0,0.20652654481731383,Control
53,3,0.5,-0.20178904955087382,Control
54,1,0.75,0.4556719704265876,Stress
54,2,1.0,0.3322583393785832,Stress
54,3,1.0,0.4168224686293951,Stress
55,1,0.25,0.09380916884304401,Stress
55,2,0.3333333333333333,0.09716274623268603,Stress
55,3,0.0,0.35026072135344455,Stress
56,1,0.0,0.16642071708901873,Control
56,2,1.0,-0.13375575144082733,Control
56,3,0.5,0.3243616916341026,Control
57,1,0.75,0.21307928030741918,Control
57,2,0.5,0.06397227272975055,Control
57,3,0.0,0.9120758670412215,Control
58,1,0.75,0.0818485327092137,Stress
58,2,0.25,0.5341480393658237,Stress
58,3,0.0,0.03782057361485699,Stress
59,1,0.75,0.3279719126792434,Stress
59,2,1.0,0.36497407828352085,Stress
59,3,0.5,0.1116019954457565,Stress
60,1,0.5,-0.056811760152271615,Stress
60,2,0.0,0.14596722391648678,Stress
60,3,0.75,0.1720076764005089,Stress
61,1,0.6666666666666666,0.009308202390479733,Stress
61,2,1.0,-0.24113600254940815,Stress
61,3,1.0,-0.24051300977557735,Stress
62,1,1.0,0.11116551415558552,Control
62,2,0.0,0.11419844699990678,Control
62,3,1.0,0.26562569462018537,Control
63,1,0.0,-0.11932056584634401,Stress
63,2,0.25,0.03812354301299537,Stress
63,3,0.25,0.0380825016470551,Stress
64,1,0.0,0.3691354637515185,Control
64,2,0.0,0.7266159281801602,Control
64,3,0.0,0.4792673844297355,Control
65,1,0.25,0.08481375748811718,Stress
65,2,0.0,-0.16472086053178353,Stress
65,3,1.0,-0.08059948431723943,Stress
66,1,0.25,0.11414657740426462,Stress
66,2,0.25,-0.11721923689971084,Stress
66,3,0.0,-0.16101946397625577,Stress
68,1,0.5,0.15829118815293683,Stress
68,2,1.0,0.22053445644123962,Stress
68,3,0.75,0.2209352008456694,Stress
69,1,0.0,0.39906525544691457,Control
69,2,0.5,0.0773712784848816,Control
69,3,0.75,0.02392521593679689,Control
71,1,1.0,0.5345235043195957,Control
71,2,0.25,0.30689737988977656,Control
71,3,0.5,0.00782907809269925,Control
72,1,0.75,0.45309315030237524,Stress
72,2,0.5,0.48018444745116157,Stress
72,3,0.5,0.3837547504917221,Stress
73,1,0.5,0.24761156489079697,Control
73,2,0.0,0.09194948815649504,Control
73,3,0.75,0.3663993887742719,Control
74,1,0.5,-0.24317386192957366,Control
74,2,0.75,0.17701103945410668,Control
74,3,0.5,0.17650442735593447,Control
75,1,1.0,0.34043240604223635,Stress
75,2,1.0,-0.03363768187885598,Stress
75,3,0.5,0.007066183717020487,Stress
76,1,0.6666666666666666,0.0971337864588678,Control
76,2,0.5,0.5579995493250267,Control
76,3,1.0,0.033381687152729246,Control
77,1,0.5,0.3277729514667785,Stress
77,2,0.25,0.25727624500684043,Stress
77,3,1.0,0.29332623165674815,Stress
78,1,0.5,0.647173099610976,Stress
78,2,0.0,0.5275677554809802,Stress
78,3,0.5,0.30787594265706675,Stress
79,1,0.0,0.3916980924320945,Control
79,2,0.0,0.21386146888333246,Control
79,3,0.75,0.8204796940982488,Control
80,1,0.75,0.0539542667712596,Stress
80,2,1.0,0.3834910803512213,Stress
80,3,0.25,0.7411028484789702,Stress
81,1,1.0,0.14524761059220545,Control
81,2,0.5,-0.01088344663845281,Control
81,3,0.75,0.1364636823129649,Control
82,1,1.0,0.5150478621265199,Control
82,2,0.25,0.5141384964449239,Control
82,3,1.0,0.7451137408782702,Control
83,1,0.5,-0.09807983858742039,Control
83,2,0.0,0.43018805934160326,Control
83,3,1.0,0.2448395043995611,Control
84,1,0.75,0.04238652855356575,Stress
84,2,0.5,0.48214214583786247,Stress
84,3,0.25,0.30622922536024444,Stress
85,1,0.0,-0.22678548719849137,Stress
85,2,0.5,0.22072054859303905,Stress
85,3,0.5,0.4025817789147889,Stress
86,1,0.25,0.14945136754602878,Control
86,2,0.5,-0.16219117222167798,Control
86,3,0.75,0.07026690323820828,Control
87,1,0.25,-0.07209236337540953,Control
87,2,0.25,-0.08757375658063667,Control
87,3,0.0,-0.03160419035606145,Control
88,1,0.25,0.005600628975174808,Stress
88,2,0.0,0.48226771643342303,Stress
88,3,0.6666666666666666,0.727022549385253,Stress
89,1,1.0,-0.10375970458140234,Control
89,2,0.25,0.549901038357813,Control
89,3,0.0,0.17395981177840975,Control
90,1,0.5,0.5533854631995284,Stress
90,2,0.5,0.16286230221995654,Stress
90,3,1.0,0.41859848976019104,Stress
91,1,0.75,0.34921425535582773,Control
91,2,0.75,-0.3443560010999877,Control
91,3,0.25,0.2660870460750231,Control
92,1,0.25,0.34080676964065,Stress
92,2,1.0,0.25687189795503396,Stress
92,3,0.75,-0.0025348442963776816,Stress
93,1,0.6666666666666666,0.5367965660959875,Control
93,2,0.5,0.03780153084855803,Control
93,3,0.5,-0.0504190516227815,Control
94,1,0.5,0.3335260196198542,Control
94,2,0.0,0.1813932223431142,Control
94,3,0.0,0.15155839651613012,Control
95,1,1.0,0.0736798805176217,Control
95,2,0.25,-0.10971000220831563,Control
95,3,0.5,0.15629643074773078,Control
96,1,1.0,-0.09229834813185227,Stress
96,2,0.75,0.3373184714093116,Stress
96,3,0.0,0.30313632628707143,Stress
98,1,1.0,0.35329883482913604,Stress
98,2,1.0,0.5038095432135262,Stress
98,3,1.0,0.2857112390195446,Stress
100,1,0.5,0.32862908054334355,Control
100,2,0.75,0.4069901534336011,Control
100,3,0.5,-0.05353784320212579,Control
101,1,1.0,0.49182916551997796,Stress
101,2,1.0,0.5798762816125033,Stress
101,3,0.25,-0.056150405677926084,Stress
103,1,0.75,0.3721387797047392,Stress
103,2,0.0,0.24880921553783913,Stress
103,3,0.25,0.4939100702953034,Stress
104,1,0.5,0.4497505153501513,Stress
104,2,0.0,0.023737647862850996,Stress
104,3,1.0,0.18626099866437948,Stress
105,1,0.5,0.155899362020589,Stress
105,2,0.25,-0.025448106480138743,Stress
105,3,0.75,0.20477796758629963,Stress
106,1,0.25,0.24934843117120173,Control
106,2,0.75,0.37195273590226946,Control
106,3,0.5,0.11153101205557217,Control
