subid,pairnum,familacc,ets,group
74,2,above,-0.039984811301227316,Control
75,1,above,0.1315785968057796,Stress
75,2,above,0.22287034488812196,Stress
76,1,above,0.17271705347741495,Control
76,3,above,0.5636756052246774,Control
77,2,below,-0.1274425111399834,Stress
77,3,above,0.256868416337019,Stress
78,2,below,0.41681305668300145,Stress
79,1,below,0.28194312658116444,Control
79,2,below,0.22076135234319336,Control
79,3,above,0.17041060929345767,Control
80,1,above,0.296341499914953,Stress
80,2,above,0.2464931944583094,Stress
80,3,below,0.5192475829479986,Stress
81,1,above,0.3618131940104871,Control
81,3,above,0.4055822724876993,Control
82,1,above,0.38252225727534334,Control
82,2,below,0.5372838863019637,Control
82,3,above,0.4986159030405319,Control
83,2,below,0.4180799518658804,Control
83,3,above,0.06780525960940491,Control
84,1,above,0.22714545982100115,Stress
84,3,below,0.3395239330267496,Stress
85,1,below,0.10908741080244548,Stress
86,1,below,0.2602580766001706,Control
86,3,above,0.37475846118531875,Control
87,1,below,0.32128873183354295,Control
87,2,below,0.12047200883310813,Control
87,3,below,0.026221504001705392,Control
88,1,below,0.16148996148756598,Stress
88,2,below,0.05235202955743431,Stress
88,3,above,-0.20177497688054227,Stress
89,1,above,-0.11286689094450757,Control
89,2,below,0.6198812058440174,Control
89,3,below,0.42189006736275386,Control
90,3,above,0.3632751060469816,Stress
91,1,above,-0.1851566720559421,Control
91,2,above,0.339680935851005,Control
91,3,below,-0.09917345040480856,Control
92,1,below,0.14255126730709325,Stress
92,2,above,-0.14307092513097838,Stress
92,3,above,0.3672744545905588,Stress
93,1,above,0.41532272113417806,Control
94,2,below,-0.04318928881408269,Control
94,3,below,0.07459422379105385,Control
95,1,above,0.032962335756091955,Control
95,2,below,0.28992729651814986,Control
96,1,above,0.44585120614234935,Stress
96,2,above,-0.027412929931154646,Stress
96,3,below,-0.03826934255513558,Stress
98,1,above,-0.017977259254713975,Stress
98,2,above,0.13925989788363957,Stress
98,3,above,0.14213580071314552,Stress
100,2,above,0.18902966946016192,Control
101,1,above,0.16418049998261885,Stress
101,2,above,0.17066497334749972,Stress
101,3,below,0.15251921595048457,Stress
103,1,above,-0.05772630089650431,Stress
103,2,below,0.0026903366014491485,Stress
103,3,below,0.10214857849958067,Stress
104,2,below,0.0212439251403035,Stress
104,3,above,-0.11248611276027372,Stress
105,2,below,0.41738538810735537,Stress
105,3,above,0.290236818615304,Stress
106,1,below,-0.06801596256330178,Control
106,2,above,0.10189227733068769,Control
