subid,pairnum,familacc,ets,group
44,3,above,0.09762214400318811,Control
45,2,below,0.5447311277264836,Control
45,3,below,0.9385401806519396,Control
46,1,above,0.6271411446450843,Stress
46,3,above,0.551023530042234,Stress
47,1,above,0.0004927185057090888,Stress
47,2,above,0.29513162869534604,Stress
47,3,above,0.2520209556136766,Stress
48,1,below,0.23203869695602033,Control
48,3,below,0.42413674163071036,Control
49,2,above,0.7034376169770349,Control
49,3,below,-0.012746438931351826,Control
50,1,above,0.19499126725306573,Stress
50,2,above,0.443122456811963,Stress
50,3,above,0.4679993559866067,Stress
52,1,below,0.3706658774713281,Control
52,2,below,0.444315845542771,Control
52,3,above,0.40908909028026547,Control
53,1,below,0.27575800616246465,Control
53,2,above,0.20652654481731383,Control
54,1,above,0.4556719704265876,Stress
54,2,above,0.3322583393785832,Stress
54,3,above,0.4168224686293951,Stress
55,1,below,0.09380916884304401,Stress
55,2,below,0.09716274623268603,Stress
55,3,below,0.35026072135344455,Stress
56,1,below,0.16642071708901873,Control
56,2,above,-0.13375575144082733,Control
57,1,above,0.21307928030741918,Control
57,3,below,0.9120758670412215,Control
58,1,above,0.0818485327092137,Stress
58,2,below,0.5341480393658237,Stress
58,3,below,0.03782057361485699,Stress
59,1,above,0.3279719126792434,Stress
59,2,above,0.36497407828352085,Stress
60,2,below,0.14596722391648678,Stress
60,3,above,0.1720076764005089,Stress
61,1,above,0.009308202390479733,Stress
61,2,above,-0.24113600254940815,Stress
61,3,above,-0.24051300977557735,Stress
62,1,above,0.11116551415558552,Control
62,2,below,0.11419844699990678,Control
62,3,above,0.26562569462018537,Control
63,1,below,-0.11932056584634401,Stress
63,2,below,0.03812354301299537,Stress
63,3,below,0.0380825016470551,Stress
64,1,below,0.3691354637515185,Control
64,2,below,0.7266159281801602,Control
64,3,below,0.4792673844297355,Control
65,1,below,0.08481375748811718,Stress
65,2,below,-0.16472086053178353,Stress
65,3,above,-0.08059948431723943,Stress
66,1,below,0.11414657740426462,Stress
66,2,below,-0.11721923689971084,Stress
66,3,below,-0.16101946397625577,Stress
68,2,above,0.22053445644123962,Stress
68,3,above,0.2209352008456694,Stress
69,1,below,0.39906525544691457,Control
69,3,above,0.02392521593679689,Control
71,1,above,0.5345235043195957,Control
71,2,below,0.30689737988977656,Control
72,1,above,0.45309315030237524,Stress
73,2,below,0.09194948815649504,Control
73,3,above,0.3663993887742719,Control
74,2,above,0.17701103945410668,Control
75,1,above,0.34043240604223635,Stress
75,2,above,-0.03363768187885598,Stress
76,1,above,0.0971337864588678,Control
76,3,above,0.033381687152729246,Control
77,2,below,0.25727624500684043,Stress
77,3,above,0.29332623165674815,Stress
78,2,below,0.5275677554809802,Stress
79,1,below,0.3916980924320945,Control
79,2,below,0.21386146888333246,Control
79,3,above,0.8204796940982488,Control
80,1,above,0.0539542667712596,Stress
80,2,above,0.3834910803512213,Stress
80,3,below,0.7411028484789702,Stress
81,1,above,0.14524761059220545,Control
81,3,above,0.1364636823129649,Control
82,1,above,0.5150478621265199,Control
82,2,below,0.5141384964449239,Control
82,3,above,0.7451137408782702,Control
83,2,below,0.43018805934160326,Control
83,3,above,0.2448395043995611,Control
84,1,above,0.04238652855356575,Stress
84,3,below,0.30622922536024444,Stress
85,1,below,-0.22678548719849137,Stress
86,1,below,0.14945136754602878,Control
86,3,above,0.07026690323820828,Control
87,1,below,-0.07209236337540953,Control
87,2,below,-0.08757375658063667,Control
87,3,below,-0.03160419035606145,Control
88,1,below,0.005600628975174808,Stress
88,2,below,0.48226771643342303,Stress
88,3,above,0.727022549385253,Stress
89,1,above,-0.10375970458140234,Control
89,2,below,0.549901038357813,Control
89,3,below,0.17395981177840975,Control
90,3,above,0.41859848976019104,Stress
91,1,above,0.34921425535582773,Control
91,2,above,-0.3443560010999877,Control
91,3,below,0.2660870460750231,Control
92,1,below,0.34080676964065,Stress
92,2,above,0.25687189795503396,Stress
92,3,above,-0.0025348442963776816,Stress
93,1,above,0.5367965660959875,Control
94,2,below,0.1813932223431142,Control
94,3,below,0.15155839651613012,Control
95,1,above,0.0736798805176217,Control
95,2,below,-0.10971000220831563,Control
96,1,above,-0.09229834813185227,Stress
96,2,above,0.3373184714093116,Stress
96,3,below,0.30313632628707143,Stress
98,1,above,0.35329883482913604,Stress
98,2,above,0.5038095432135262,Stress
98,3,above,0.2857112390195446,Stress
100,2,above,0.4069901534336011,Control
101,1,above,0.49182916551997796,Stress
101,2,above,0.5798762816125033,Stress
101,3,below,-0.056150405677926084,Stress
103,1,above,0.3721387797047392,Stress
103,2,below,0.24880921553783913,Stress
103,3,below,0.4939100702953034,Stress
104,2,below,0.023737647862850996,Stress
104,3,above,0.18626099866437948,Stress
105,2,below,-0.025448106480138743,Stress
105,3,above,0.20477796758629963,Stress
106,1,below,0.24934843117120173,Control
106,2,above,0.37195273590226946,Control
