subid,pairnum,familacc,ets,group
44,3,above,0.47837991494470555,Control
45,2,below,0.1844910673276807,Control
45,3,below,1.078823984402285,Control
46,1,above,0.5795244145612244,Stress
46,3,above,0.14980100985697603,Stress
47,1,above,-0.054489826977628594,Stress
47,2,above,0.22726531873712083,Stress
47,3,above,0.6156782956806083,Stress
48,1,below,0.405644990871896,Control
48,3,below,0.29008206938784875,Control
49,2,above,0.8653119694172401,Control
49,3,below,0.2037340508288057,Control
50,1,above,-0.018223407450258675,Stress
50,2,above,0.2641104851782399,Stress
50,3,above,0.04055369979132094,Stress
52,1,below,0.6779906485068444,Control
52,2,below,0.2042464051504039,Control
52,3,above,0.45684270803570926,Control
53,1,below,0.2670384103971317,Control
53,2,above,0.11310829368952344,Control
54,1,above,0.8416568465470993,Stress
54,2,above,0.4331219604151813,Stress
54,3,above,0.3776078109183414,Stress
55,1,below,0.06054299662729999,Stress
55,2,below,0.29828913615355795,Stress
55,3,below,0.3135889628466838,Stress
56,1,below,0.015092953880883032,Control
56,2,above,-0.2031898250959505,Control
57,1,above,0.36684908317312814,Control
57,3,below,0.990007828067088,Control
58,1,above,0.20355152449214398,Stress
58,2,below,0.46096247709225163,Stress
58,3,below,0.10927742187926046,Stress
59,1,above,0.4390353462863078,Stress
59,2,above,0.06725196301317292,Stress
60,2,below,-0.06904581648117321,Stress
60,3,above,0.24638984954874407,Stress
61,1,above,0.20858214134156233,Stress
61,2,above,0.19242961483704737,Stress
61,3,above,0.01163088040346506,Stress
62,1,above,0.13066928187742125,Control
62,2,below,-0.110762348633108,Control
62,3,above,0.4119565580279879,Control
63,1,below,-0.03608762640945701,Stress
63,2,below,0.38132700891919624,Stress
63,3,below,0.33426985153992356,Stress
64,1,below,0.4199050227376974,Control
64,2,below,0.3729970105757283,Control
64,3,below,0.545696349883699,Control
65,1,below,0.2965522454047058,Stress
65,2,below,-0.01975636980728926,Stress
65,3,above,-0.08508936972865443,Stress
66,1,below,-0.19414248079946594,Stress
66,2,below,-0.04525697653752829,Stress
66,3,below,-0.19714844298940784,Stress
68,2,above,0.4491714765225955,Stress
68,3,above,0.573588535833841,Stress
69,1,below,0.0934058167468211,Control
69,3,above,0.2882568387263023,Control
71,1,above,0.506669576616986,Control
71,2,below,0.37186212564911886,Control
72,1,above,0.6560727492124121,Stress
73,2,below,-0.10186788643408672,Control
73,3,above,0.516810819378765,Control
74,2,above,-0.021276958791773694,Control
75,1,above,0.3893689998320098,Stress
75,2,above,-0.4020617766148889,Stress
76,1,above,0.09735677569507281,Control
76,3,above,0.2247397509961885,Control
77,2,below,0.1659021256403136,Stress
77,3,above,0.2283005457062321,Stress
78,2,below,0.25845176947466203,Stress
79,1,below,0.10182062626796834,Control
79,2,below,0.02911577305608941,Control
79,3,above,0.8669935195180368,Control
80,1,above,0.17114589533729357,Stress
80,2,above,0.2795936282475141,Stress
80,3,below,0.8065334498561267,Stress
81,1,above,0.1296595887125313,Control
81,3,above,0.09357401694887502,Control
82,1,above,0.8584818669545713,Control
82,2,below,0.9612990723978072,Control
82,3,above,0.7084605790666298,Control
83,2,below,0.3092915797526129,Control
83,3,above,0.3317582488295063,Control
84,1,above,0.15115605999776535,Stress
84,3,below,0.5108334242450397,Stress
85,1,below,0.3334425947186807,Stress
86,1,below,0.18918668093120253,Control
86,3,above,-0.03585792627624988,Control
87,1,below,-0.23900101256873668,Control
87,2,below,-0.1891416641932959,Control
87,3,below,-0.11853734909850878,Control
88,1,below,0.445268718592802,Stress
88,2,below,0.18110940135369788,Stress
88,3,above,0.2714762513481115,Stress
89,1,above,0.04472792877968833,Control
89,2,below,0.7552021509433413,Control
89,3,below,0.16891048806596945,Control
90,3,above,0.2849065796533454,Stress
91,1,above,0.22791292533683377,Control
91,2,above,0.0986019210458175,Control
91,3,below,0.17071812762327596,Control
92,1,below,0.5501450034942394,Stress
92,2,above,0.15750240085818665,Stress
92,3,above,-0.07708565185949626,Stress
93,1,above,0.6244362441001267,Control
94,2,below,-0.0573910954446397,Control
94,3,below,-0.17119208155670473,Control
95,1,above,0.030365426279265122,Control
95,2,below,0.0030532600107714995,Control
96,1,above,0.11627418897093775,Stress
96,2,above,0.33655744874280624,Stress
96,3,below,0.30235968663494567,Stress
98,1,above,0.3947804934731599,Stress
98,2,above,0.20237199215356477,Stress
98,3,above,0.3933384428995841,Stress
100,2,above,0.30521229492783836,Control
101,1,above,0.6365807631501432,Stress
101,2,above,0.5827759060347345,Stress
101,3,below,0.2327627204449115,Stress
103,1,above,0.22515602131015258,Stress
103,2,below,0.19286000371258474,Stress
103,3,below,0.5885889453522367,Stress
104,2,below,0.3087855019142305,Stress
104,3,above,-0.09108664143706739,Stress
105,2,below,-0.04530682490339179,Stress
105,3,above,0.3479296750817725,Stress
106,1,below,0.22930179515821875,Control
106,2,above,0.2616072481047699,Control
