subid,pairnum,familacc,ets,group
49,2,above,0.3913012093595174,Control
49,3,below,-0.09011651957617321,Control
50,1,above,0.24961826274474425,Stress
50,2,above,0.23213690586892163,Stress
50,3,above,0.22515798956195457,Stress
52,1,below,0.032733777408922665,Control
52,2,below,0.1618685672626499,Control
52,3,above,0.24551256826259063,Control
53,1,below,0.05179525504369248,Control
53,2,above,0.10201079013847847,Control
54,1,above,0.3051765796159719,Stress
54,2,above,0.09787478431341871,Stress
54,3,above,0.15194047078129505,Stress
55,1,below,0.17544574001935492,Stress
55,2,below,0.17956566681971736,Stress
55,3,below,0.21383874500907354,Stress
56,1,below,-0.14290798865537568,Control
56,2,above,-0.011541311589947053,Control
57,1,above,0.007557347149389657,Control
57,3,below,0.5547787424824213,Control
58,1,above,0.2836211673493738,Stress
58,2,below,0.4022003949669644,Stress
58,3,below,-0.032740280332720896,Stress
59,1,above,0.06680205396948796,Stress
59,2,above,-0.2970336735536702,Stress
60,2,below,0.11513062177874168,Stress
60,3,above,0.4121886322469453,Stress
61,1,above,-0.16760904555991266,Stress
61,2,above,0.5153098149165082,Stress
61,3,above,0.1738353319756032,Stress
62,1,above,-0.025528214969752744,Control
62,2,below,0.032247658330167565,Control
62,3,above,0.5626209307284356,Control
63,1,below,-0.2499159278413228,Stress
63,2,below,0.45906185862422516,Stress
63,3,below,0.18839925664956647,Stress
64,1,below,0.6432136340397065,Control
64,2,below,0.2570642741440109,Control
64,3,below,0.18318017896232353,Control
65,1,below,0.429670212397295,Stress
65,2,below,-0.04420433073681672,Stress
65,3,above,-0.14294056329904936,Stress
66,1,below,0.09054155405980786,Stress
66,2,below,-0.25576709220346705,Stress
66,3,below,-0.10541310099694609,Stress
68,2,above,0.5009382424794098,Stress
68,3,above,-0.1796806729204699,Stress
69,1,below,0.19037662476376035,Control
69,3,above,-0.0745260031973986,Control
71,1,above,0.5887538997084473,Control
71,2,below,0.30481720098744025,Control
72,1,above,0.3264648175599997,Stress
73,2,below,-0.08802679268900102,Control
73,3,above,0.2293800604554935,Control
74,2,above,0.2062004048785572,Control
75,1,above,0.032775102893215835,Stress
75,2,above,-0.05510146759721748,Stress
76,1,above,0.04806413664949812,Control
76,3,above,0.127450506114279,Control
77,2,below,-0.05080706211974789,Stress
77,3,above,-0.0339583146048232,Stress
78,2,below,-0.11223220694100125,Stress
79,1,below,-0.09554049316690728,Control
79,2,below,0.20540278514781957,Control
79,3,above,0.4134881432627492,Control
80,1,above,0.20083114151354597,Stress
80,2,above,0.3885003079446503,Stress
80,3,below,0.5954827268697356,Stress
81,1,above,0.06338025363472857,Control
81,3,above,0.15320983592687915,Control
82,1,above,0.1567750874460278,Control
82,2,below,0.2193939309789753,Control
82,3,above,0.39155678347781847,Control
83,2,below,-0.006767800533646282,Control
83,3,above,0.12697823358565447,Control
84,1,above,-0.1744237594106421,Stress
84,3,below,0.07870262924630055,Stress
85,1,below,-0.1300532771726685,Stress
86,1,below,0.13504570471093358,Control
86,3,above,0.17183426471167002,Control
87,1,below,0.0068371261809733975,Control
87,2,below,-0.17193421902159695,Control
87,3,below,-0.10144319275083087,Control
88,1,below,0.1436167692585039,Stress
88,2,below,-0.22302096682263764,Stress
88,3,above,-0.25885656350565744,Stress
89,1,above,-0.07902825752284344,Control
89,2,below,0.8019679072788264,Control
89,3,below,-0.09161943905769124,Control
90,3,above,0.2626007998957552,Stress
91,1,above,-0.051566700515715894,Control
91,2,above,-0.07865328050482137,Control
91,3,below,-0.005895686639184415,Control
92,1,below,-0.04478150793733449,Stress
92,2,above,-0.08927735757930252,Stress
92,3,above,-0.025043303547049298,Stress
93,1,above,0.13535218204828722,Control
94,2,below,0.14780643805119517,Control
94,3,below,-0.0641232499842411,Control
95,1,above,0.2615821509706032,Control
95,2,below,0.13486348146187163,Control
96,1,above,-0.25328262457163236,Stress
96,2,above,-0.22504693220578564,Stress
96,3,below,0.5111315313352223,Stress
98,1,above,-0.22674798294479626,Stress
98,2,above,-0.15692688974148244,Stress
98,3,above,-0.02456089967400076,Stress
100,2,above,0.25019406069620265,Control
101,1,above,0.2402278346818803,Stress
101,2,above,0.20452617368525222,Stress
101,3,below,-0.06263456306188242,Stress
103,1,above,-0.35789457547223397,Stress
103,2,below,-0.23199152861229214,Stress
103,3,below,-0.04487659203038493,Stress
104,2,below,-0.595010901277531,Stress
104,3,above,-0.2512042025917753,Stress
105,2,below,-0.006537387642709365,Stress
105,3,above,0.016255483659834376,Stress
106,1,below,0.021614896582637537,Control
106,2,above,0.2109258040604674,Control
