subid,recog,ets,group
69,remembered,-0.0028916913260918398,Control
69,forgotten,0.3011335552155347,Control
71,remembered,0.3828105512869224,Control
71,forgotten,0.32458190436951295,Control
72,remembered,0.6437855610311067,Stress
72,forgotten,0.5639662585737338,Stress
73,remembered,0.28334155155927754,Control
73,forgotten,0.2900527187277697,Control
74,remembered,0.22121547361366456,Control
74,forgotten,-0.12204152442570018,Control
75,remembered,-0.18535630617001367,Stress
75,forgotten,0.2161142042830719,Stress
76,remembered,0.19776093005948395,Control
76,forgotten,0.5867340446656587,Control
77,remembered,0.18706898233949615,Stress
77,forgotten,0.2962383599954248,Stress
78,remembered,0.1476146453897422,Stress
78,forgotten,0.07315432869253273,Stress
79,remembered,0.05203609154129373,Control
79,forgotten,0.4363459725974348,Control
80,remembered,0.3585315914292385,Stress
80,forgotten,0.4805814395316376,Stress
81,remembered,0.14408533012782565,Control
81,forgotten,-0.03252537320446102,Control
82,remembered,1.0586991357494857,Control
82,forgotten,0.7865996624411167,Control
83,remembered,0.24107529297822633,Control
83,forgotten,0.241112122358098,Control
84,remembered,0.3700720638158101,Stress
84,forgotten,0.43995456481782297,Stress
85,remembered,0.11432748744687435,Stress
85,forgotten,0.5738330051366568,Stress
86,remembered,0.10860527281631945,Control
86,forgotten,-0.1361169525565953,Control
87,remembered,-0.31928921979265873,Control
87,forgotten,0.056142967331955715,Control
88,remembered,0.29676221003238246,Stress
88,forgotten,0.30205962887060733,Stress
89,remembered,0.29233645307232187,Control
89,forgotten,0.35077449489088847,Control
90,remembered,0.3686599972428102,Stress
90,forgotten,0.5313938171016445,Stress
91,remembered,0.13931432411399583,Control
91,forgotten,0.2582493266099057,Control
92,remembered,0.24818077306944467,Stress
92,forgotten,0.18310984362181612,Stress
93,remembered,0.2443917571899558,Control
93,forgotten,0.24428511196709835,Control
94,remembered,0.21237037499416056,Control
94,forgotten,0.06436081046815875,Control
95,remembered,0.17530803442800855,Control
95,forgotten,-0.048106993596357575,Control
96,remembered,0.1436696335935986,Stress
96,forgotten,0.31386540596674284,Stress
98,remembered,0.22664196432670874,Stress
98,forgotten,0.4200317389930862,Stress
100,remembered,0.27499417076034754,Control
100,forgotten,0.07597585021803037,Control
101,remembered,0.6740962533975766,Stress
101,forgotten,0.3867285594320352,Stress
103,remembered,0.08047239141151344,Stress
103,forgotten,0.5127175904395243,Stress
104,remembered,0.3824474200083422,Stress
104,forgotten,0.22414311905357023,Stress
105,remembered,0.04306229564872754,Stress
105,forgotten,0.14468464662734498,Stress
106,remembered,0.22731540840332806,Control
106,forgotten,0.27288497840052905,Control
