subid,recog,ets,group
72,remembered,0.3590826458190594,Stress
72,forgotten,0.3337014464231848,Stress
73,remembered,-0.07471222815500024,Control
73,forgotten,-0.07792346713245857,Control
74,remembered,0.2870551609202404,Control
74,forgotten,0.012874265117973828,Control
75,remembered,0.38763738513353,Stress
75,forgotten,0.1363843116044612,Stress
76,remembered,0.7897398222579274,Control
76,forgotten,0.2934655037200569,Control
77,remembered,0.009216718857460528,Stress
77,forgotten,0.3037779517811738,Stress
78,remembered,0.27283694533221947,Stress
78,forgotten,0.22866245316883269,Stress
79,remembered,-0.12640941231016278,Control
79,forgotten,0.35400819264884553,Control
80,remembered,0.17002856657445936,Stress
80,forgotten,0.4874924565680511,Stress
81,remembered,0.21659751958571583,Control
81,forgotten,-0.02489480466647175,Control
82,remembered,0.7705045552901992,Control
82,forgotten,0.3954060752040405,Control
83,remembered,0.3409401093686425,Control
83,forgotten,-0.16473096004863153,Control
84,remembered,0.2879669122807675,Stress
84,forgotten,0.4838992394335047,Stress
85,remembered,0.049805157128736365,Stress
85,forgotten,0.156458002195901,Stress
86,remembered,0.42188971150363347,Control
86,forgotten,0.09562293623091365,Control
87,remembered,0.20246686552882415,Control
87,forgotten,0.07517184856010951,Control
88,remembered,0.1991259506494417,Stress
88,forgotten,-0.21059163579926515,Stress
89,remembered,0.17262665294654173,Control
89,forgotten,0.43418764967003903,Control
90,remembered,0.16034021825210362,Stress
90,forgotten,0.5250443449118887,Stress
91,remembered,0.04012760878057614,Control
91,forgotten,-0.057420410646635056,Control
92,remembered,0.30383639845162674,Stress
92,forgotten,-0.14086792802608142,Stress
93,remembered,0.19499252633898864,Control
93,forgotten,0.5381217422784493,Control
94,remembered,-0.06622307337473723,Control
94,forgotten,0.16241929753711795,Control
95,remembered,0.2518837169588077,Control
95,forgotten,0.0037821526946203174,Control
96,remembered,0.010111149115249697,Stress
96,forgotten,0.19377477942816249,Stress
98,remembered,-0.00717220313508349,Stress
98,forgotten,0.17048467236483195,Stress
100,remembered,0.07930402938846864,Control
100,forgotten,0.3165293862837574,Control
101,remembered,0.16338590127556465,Stress
101,forgotten,0.16217137080431762,Stress
103,remembered,0.04458642537082723,Stress
103,forgotten,-0.00755640944016816,Stress
104,remembered,0.2463860308568138,Stress
104,forgotten,-0.4195031063290811,Stress
105,remembered,0.2074838035783613,Stress
105,forgotten,0.09981204436387482,Stress
106,remembered,0.105060398254878,Control
106,forgotten,-0.036377083021135605,Control
